product_id,product_title,handle,status,productType,vendor,tags,product_createdAt,product_updatedAt,product_publishedAt,totalInventory,featuredImageUrl,variant_id,variant_title,sku,barcode,price,priceCurrency,compareAtPrice,compareAtPriceCurrency,inventoryQuantity,variant_createdAt,variant_updatedAt
gid://shopify/Product/8492692177067,Ilustracion | Viajando | Lettuce,ilustracion-viajando-lettuce,ACTIVE,,My Store,"Ilustracion,Lettuce,Viajando",2025-08-08T21:58:32Z,2025-08-09T01:38:34Z,2025-08-08T21:58:28Z,1,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_60fd6c17-9435-4626-b4dc-a4a3efe7f053.png?v=1754690312,gid://shopify/ProductVariant/45502035460267,Default Title,ilustracion-viajando-lettuce-,,1609000.00,COP,,COP,1,2025-08-08T21:58:32Z,2025-08-08T21:58:32Z
gid://shopify/Product/8492692209835,Ilustracion | Viajando | Abstract Face,ilustracion-viajando-abstract-face,ACTIVE,,My Store,"Abstract Face,Ilustracion,Viajando",2025-08-08T21:58:37Z,2025-08-09T01:38:34Z,2025-08-08T21:58:34Z,1,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_7bc9ee1a-df2b-4d80-ac2b-849c5a8372de.png?v=1754690317,gid://shopify/ProductVariant/45502035493035,Default Title,ilustracion-viajando-abstract face-,,1016900.00,COP,,COP,1,2025-08-08T21:58:37Z,2025-08-08T21:58:37Z
gid://shopify/Product/8492692242603,Ilustracion | Viajando | Summer Day,ilustracion-viajando-summer-day,ACTIVE,,My Store,"Ilustracion,Summer Day,Viajando",2025-08-08T21:58:42Z,2025-08-09T01:38:34Z,2025-08-08T21:58:39Z,1,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_f250f0e2-7d4e-4ac7-91b8-36138a4f65cf.png?v=1754690322,gid://shopify/ProductVariant/45502035525803,Default Title,ilustracion-viajando-summer day-,,1016900.00,COP,,COP,1,2025-08-08T21:58:42Z,2025-08-08T21:58:42Z
gid://shopify/Product/8492692275371,Ilustracion | Viajando | Lia & Perico,ilustracion-viajando-lia-perico,ACTIVE,,My Store,"Ilustracion,Lia & Perico,Viajando",2025-08-08T21:58:47Z,2025-08-09T01:38:34Z,2025-08-08T21:58:43Z,1,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_e12dbebf-19b6-4f2d-819d-1204d50b98e8.png?v=1754690327,gid://shopify/ProductVariant/45502035558571,Default Title,ilustracion-viajando-lia & perico-,,1170000.00,COP,,COP,1,2025-08-08T21:58:47Z,2025-08-08T21:58:47Z
gid://shopify/Product/8492692308139,Ilustracion | Viajando | Focus Time,ilustracion-viajando-focus-time,ACTIVE,,My Store,"Focus Time,Ilustracion,Viajando",2025-08-08T21:58:53Z,2025-08-09T01:38:34Z,2025-08-08T21:58:49Z,0,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_e2d0f059-32d8-4d6d-91bb-f746956d5801.png?v=1754690333,gid://shopify/ProductVariant/45502035591339,Default Title,ilustracion-viajando-focus time-,,600000.00,COP,,COP,0,2025-08-08T21:58:53Z,2025-08-08T21:58:53Z
gid://shopify/Product/8492692340907,Ilustracion | Viajando | Blow,ilustracion-viajando-blow,ACTIVE,,My Store,"Blow,Ilustracion,Viajando",2025-08-08T21:58:58Z,2025-08-09T01:38:34Z,2025-08-08T21:58:54Z,1,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_e0513757-39b6-4bed-bbbf-8f6c9c0f8386.png?v=1754690338,gid://shopify/ProductVariant/45502035624107,Default Title,ilustracion-viajando-blow-,,980000.00,COP,,COP,1,2025-08-08T21:58:58Z,2025-08-08T21:58:58Z
gid://shopify/Product/8492692439211,Ilustracion | Viajando | TODOS SOMOS DIFERENTES,ilustracion-viajando-todos-somos-diferentes,ACTIVE,,My Store,"Ilustracion,TODOS SOMOS DIFERENTES,Viajando",2025-08-08T21:59:02Z,2025-08-09T01:38:34Z,2025-08-08T21:59:00Z,0,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_1f8e924d-4d5a-4cbf-98f1-4864a9446235.png?v=1754690343,gid://shopify/ProductVariant/45502035886251,Default Title,ilustracion-viajando-todos somos diferentes-,,1300000.00,COP,,COP,0,2025-08-08T21:59:03Z,2025-08-08T21:59:03Z
gid://shopify/Product/8492692471979,Ilustracion | Viajando | SHINI Y LAUREN,ilustracion-viajando-shini-y-lauren,ACTIVE,,My Store,"Ilustracion,SHINI Y LAUREN,Viajando",2025-08-08T21:59:07Z,2025-08-09T01:38:34Z,2025-08-08T21:59:04Z,0,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_cdaa10b3-32b7-41e2-8cf9-a90259436fe0.png?v=1754690347,gid://shopify/ProductVariant/45502035919019,Default Title,ilustracion-viajando-shini y lauren-,,1400000.00,COP,,COP,0,2025-08-08T21:59:07Z,2025-08-08T21:59:07Z
gid://shopify/Product/8492692537515,Ilustracion | Viajando | HE'S CROSSING THE STREET,ilustracion-viajando-hes-crossing-the-street,ACTIVE,,My Store,"HE'S CROSSING THE STREET,Ilustracion,Viajando",2025-08-08T21:59:13Z,2025-08-09T01:38:34Z,2025-08-08T21:59:08Z,1,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_564db545-2f76-41bd-95fc-83613d75d71e.png?v=1754690353,gid://shopify/ProductVariant/45502035984555,Default Title,ilustracion-viajando-he's crossing the street-,,1609900.00,COP,,COP,1,2025-08-08T21:59:13Z,2025-08-08T21:59:13Z
gid://shopify/Product/8492692570283,Ilustracion | Viajando | JAZZ WALK,ilustracion-viajando-jazz-walk,ACTIVE,,My Store,"Ilustracion,JAZZ WALK,Viajando",2025-08-08T21:59:17Z,2025-08-09T01:38:34Z,2025-08-08T21:59:14Z,1,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_64a0040d-2255-4a40-a4c2-907c26b0c5bd.png?v=1754690358,gid://shopify/ProductVariant/45502036017323,Default Title,ilustracion-viajando-jazz walk-,,1250000.00,COP,,COP,1,2025-08-08T21:59:18Z,2025-08-08T21:59:18Z
gid://shopify/Product/8492311806123,Bowls | Hamsa Vibes | Hamsa,bowls-hamsa-vibes-hamsa,ACTIVE,,My Store,"amarillo azul,Bowls,Hamsa,Hamsa Vibes",2025-08-08T17:35:52Z,2025-08-09T05:36:02Z,2025-08-08T17:35:52Z,10,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_ac7b0551-214d-419e-8ba4-82ca0ec22513.jpg?v=1754674558,gid://shopify/ProductVariant/45501153411243,amarillo azul,bowls-hamsa vibes-hamsa-amarillo azul,,57500.00,COP,,COP,10,2025-08-08T17:35:52Z,2025-08-08T17:35:57Z
gid://shopify/Product/8492312068267,Bowls | Texturas Aleatorias | Lineas Negras,bowls-texturas-aleatorias-lineas-negras,ACTIVE,,My Store,"Bowls,Lineas Negras,Negro,Texturas Aleatorias",2025-08-08T17:35:55Z,2025-08-09T05:36:06Z,2025-08-08T17:35:55Z,10,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_77e289d3-b220-48d9-ab94-38a389352a15.jpg?v=1754674561,gid://shopify/ProductVariant/45501154361515,Negro,bowls-texturas aleatorias-lineas negras-Negro,,57500.00,COP,,COP,10,2025-08-08T17:35:55Z,2025-08-08T17:36:00Z
gid://shopify/Product/8492311675051,Bandejas | Vitrinas  | Cruce Peatonal,bandejas-vitrinas-cruce-peatonal,ACTIVE,,My Store,"Bandejas,Cruce Peatonal,Negro,Vitrinas",2025-08-08T17:35:50Z,2025-08-09T05:36:10Z,2025-08-08T17:35:50Z,50,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_c84c9c3f-2277-44dd-bbbd-7db934772125.jpg?v=1754674557,gid://shopify/ProductVariant/45501153149099,Negro,bandejas-vitrinas-cruce peatonal-Negro,,63400.00,COP,,COP,10,2025-08-08T17:35:51Z,2025-08-08T17:35:56Z
gid://shopify/Product/8492311675051,Bandejas | Vitrinas  | Cruce Peatonal,bandejas-vitrinas-cruce-peatonal,ACTIVE,,My Store,"Bandejas,Cruce Peatonal,Negro,Vitrinas",2025-08-08T17:35:50Z,2025-08-09T05:36:10Z,2025-08-08T17:35:50Z,50,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_c84c9c3f-2277-44dd-bbbd-7db934772125.jpg?v=1754674557,gid://shopify/ProductVariant/45501153181867,Rojo,bandejas-vitrinas-cruce peatonal-Rojo,,63400.00,COP,,COP,10,2025-08-08T17:35:51Z,2025-08-08T17:35:57Z
gid://shopify/Product/8492311675051,Bandejas | Vitrinas  | Cruce Peatonal,bandejas-vitrinas-cruce-peatonal,ACTIVE,,My Store,"Bandejas,Cruce Peatonal,Negro,Vitrinas",2025-08-08T17:35:50Z,2025-08-09T05:36:10Z,2025-08-08T17:35:50Z,50,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_c84c9c3f-2277-44dd-bbbd-7db934772125.jpg?v=1754674557,gid://shopify/ProductVariant/45501153214635,Verde,bandejas-vitrinas-cruce peatonal-Verde,,63400.00,COP,,COP,10,2025-08-08T17:35:51Z,2025-08-08T17:35:56Z
gid://shopify/Product/8492311675051,Bandejas | Vitrinas  | Cruce Peatonal,bandejas-vitrinas-cruce-peatonal,ACTIVE,,My Store,"Bandejas,Cruce Peatonal,Negro,Vitrinas",2025-08-08T17:35:50Z,2025-08-09T05:36:10Z,2025-08-08T17:35:50Z,50,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_c84c9c3f-2277-44dd-bbbd-7db934772125.jpg?v=1754674557,gid://shopify/ProductVariant/45501153247403,Morado,bandejas-vitrinas-cruce peatonal-Morado,,63400.00,COP,,COP,10,2025-08-08T17:35:51Z,2025-08-08T17:35:56Z
gid://shopify/Product/8492311675051,Bandejas | Vitrinas  | Cruce Peatonal,bandejas-vitrinas-cruce-peatonal,ACTIVE,,My Store,"Bandejas,Cruce Peatonal,Negro,Vitrinas",2025-08-08T17:35:50Z,2025-08-09T05:36:10Z,2025-08-08T17:35:50Z,50,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_c84c9c3f-2277-44dd-bbbd-7db934772125.jpg?v=1754674557,gid://shopify/ProductVariant/45501153280171,Azul,bandejas-vitrinas-cruce peatonal-Azul,,63400.00,COP,,COP,10,2025-08-08T17:35:51Z,2025-08-08T17:35:57Z
gid://shopify/Product/8492312461483,Cojines | La Cité  | Flora,cojines-la-cite-flora,ACTIVE,,My Store,"Cojines,Flora,La Cité,Negro",2025-08-08T17:36:01Z,2025-08-09T05:36:13Z,2025-08-08T17:36:01Z,10,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_2843b149-c802-47e2-9656-9766ad64b1de.png?v=1754674568,gid://shopify/ProductVariant/45501154787499,Negro,cojines-la cité-flora-Negro,,40000.00,COP,,COP,10,2025-08-08T17:36:01Z,2025-08-08T17:36:07Z
gid://shopify/Product/8492313051307,Mugs | Parche Animal  | Japon,mugs-parche-animal-japon,ACTIVE,,My Store,"Japon,Mugs,Negro,Parche Animal",2025-08-08T17:36:10Z,2025-08-09T05:36:21Z,2025-08-08T17:36:10Z,10,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_a3752f0c-a080-4d64-ba1b-9f937a5acd0a.jpg?v=1754674575,gid://shopify/ProductVariant/45501155508395,Negro,mugs-parche animal-japon-Negro,,69400.00,COP,,COP,10,2025-08-08T17:36:10Z,2025-08-08T17:36:15Z
gid://shopify/Product/8492313378987,Mugs | La Cité  | Paz,mugs-la-cite-paz,ACTIVE,,My Store,"La Cité,Mugs,Negro,Paz",2025-08-08T17:36:14Z,2025-08-09T05:36:26Z,2025-08-08T17:36:14Z,10,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_f677afeb-ec0b-4ae5-9a49-0703cd9548a5.jpg?v=1754674580,gid://shopify/ProductVariant/45501155901611,Negro,mugs-la cité-paz-Negro,,69400.00,COP,,COP,10,2025-08-08T17:36:14Z,2025-08-08T17:36:19Z
gid://shopify/Product/8492312854699,Mugs | La Cité  | Eli,mugs-la-cite-eli,ACTIVE,,My Store,"Eli,La Cité,Mugs,Negro",2025-08-08T17:36:07Z,2025-08-09T05:36:29Z,2025-08-08T17:36:07Z,10,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_39ea4cd2-bfeb-44df-b05f-00bcad77cebe.jpg?v=1754674573,gid://shopify/ProductVariant/45501155344555,Negro,mugs-la cité-eli-Negro,,69400.00,COP,,COP,10,2025-08-08T17:36:07Z,2025-08-08T17:36:12Z
